"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth","sand","biog","relief","tpi","roughness","detrended","sdrel","method","cumsum.wi"
"CTI.detrended+sdrel","detrended+sdrel",709.047011099534,727.588530703998,0.10892,NA,4.54,0,0,2.927,0.07,0.03,0,0,0,0,0,0,1,1,0,0.07
"CTI.depth+detrended+sdrel","depth+detrended+sdrel",709.047011099534,727.588530703998,0.10892,NA,4.54,0,0,2.927,0.07,0.03,1,0,0,0,0,0,1,1,0,0.14
"CTI.detrended","detrended",709.14094504745,724.661503423512,0.10084,NA,3.63,0,0.094,0,0.067,0.128,0,0,0,0,0,0,1,0,0,0.207
"CTI.depth+detrended","depth+detrended",709.14094504745,724.661503423512,0.10084,NA,3.63,0,0.094,0,0.067,0.128,1,0,0,0,0,0,1,0,0,0.274
"CTI.detrended+sdrel+tpi","detrended+sdrel+tpi",709.405751018757,731.900769782007,0.11771,NA,5.74,0,0.359,7.239,0.059,0.003,0,0,0,0,1,0,1,1,0,0.333
"CTI.detrended+tpi","detrended+tpi",709.756956005204,729.364774588338,0.1089,NA,4.86,0,0.71,4.703,0.049,0.012,0,0,0,0,1,0,1,0,0,0.382
"CTI.depth+detrended+tpi","depth+detrended+tpi",709.756956005204,729.364774588338,0.1089,NA,4.86,0,0.71,4.703,0.049,0.012,1,0,0,0,1,0,1,0,0,0.431
"CTI.detrended+method","detrended+method",710.743765271482,729.555236352464,0.10283,NA,4.62,0,1.697,4.894,0.03,0.011,0,0,0,0,0,0,1,0,1,0.461
"CTI.depth+detrended+method","depth+detrended+method",710.743765271482,729.555236352464,0.10283,NA,4.62,0,1.697,4.894,0.03,0.011,1,0,0,0,0,0,1,0,1,0.491
"CTI.detrended+method+sdrel","detrended+method+sdrel",710.804140848526,732.625640636202,0.11037,NA,5.54,0,1.757,7.964,0.029,0.002,0,0,0,0,0,0,1,1,1,0.52
"CTI.detrended+relief","detrended+relief",710.918588862608,729.657929756322,0.10193,NA,4.6,0,1.872,4.996,0.027,0.011,0,0,0,1,0,0,1,0,0,0.547
"CTI.depth+detrended+relief","depth+detrended+relief",710.918588862608,729.657929756322,0.10193,NA,4.6,0,1.872,4.996,0.027,0.011,1,0,0,1,0,0,1,0,0,0.574
