"family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"Lutjanidae","Aphareus","rutilans",5.065,5.065,5.065,73.48,73.48,73.48
"Serranidae","Plectropomus","spp",4.868,4.868,4.868,66.38,66.38,66.38
"Carcharhinidae","Carcharhinus","albimarginatus",4.56,4.56,4.56,72.52,72.52,72.52
"Lutjanidae","Lutjanus","sebae",4.502,7.701,3.168,53.3,58.88,70.31
"Carangidae","Carangoides","fulvoguttatus",3.929,5.527,2.354,53.58,63.94,72.6
"Carcharhinidae","Carcharhinus","plumbeus",2.872,2.872,2.872,63.06,63.06,63.06
"Lethrinidae","Gymnocranius","euanus",2.684,2.684,2.684,49.35,49.35,49.35
"Lethrinidae","Lethrinus","miniatus",2.002,2.651,1.039,38.61,46.73,51.38
"Lutjanidae","Pristipomoides","sp1",1.888,2.889,0.487,29.94,44.97,54.55
"Lethrinidae","Gymnocranius","spp",1.709,2.739,0.542,30.3,43.11,52.45
"Echeneidae","Echeneis","naucrates",1.589,1.589,1.589,76.55,76.55,76.55
"Balistidae","Abalistes","stellatus",1.298,1.298,1.298,40.1,40.1,40.1
"Lethrinidae","Lethrinus","rubrioperculatus",0.935,1.297,0.578,31.48,36.56,41.43
"Pomacanthidae","Pomacanthus","semicirculatus",0.898,0.898,0.898,31.54,31.54,31.54
"Lethrinidae","Gymnocranius","sp1",0.811,1.214,0.631,31.91,34.44,39.81
"Carangidae","Carangoides","chrysophrys",0.703,1.215,0.231,22.73,31.96,40.4
"Balistidae","Xanthichthys","lineopunctatus",0.65,0.65,0.65,29.83,29.83,29.83
"Carangidae","Carangoides","gymnostethus",0.598,0.843,0.401,27.13,31.27,35.58
"Labridae","Bodianus","bilunulatus",0.569,0.569,0.569,32.59,32.59,32.59
"Mullidae","Parupeneus","cyclostomus",0.54,0.653,0.428,27.95,29.98,32
"Carangidae","Decapterus","spp",0.354,0.749,0.031,12.15,24.08,35.59
"Chaetodontidae","Heniochus","acuminatus",0.334,0.44,0.244,19.33,21.28,23.38
"Labridae","Bodianus","solatus",0.301,0.301,0.301,27.69,27.69,27.69
"Serranidae","Epinephelus","areolatus",0.217,0.217,0.217,27.38,27.38,27.38
"Holocentridae","Sargocentron","rubrum",0.187,0.255,0.129,16.76,18.86,21.03
"Priacanthidae","Priacanthus","hamrur",0.144,0.144,0.144,20.61,20.61,20.61
"Chaetodontidae","Chaetodon","assarius",0.034,0.034,0.034,11.34,11.34,11.34
"Apogonidae","Ostorhinchus","aureus",0.021,0.021,0.021,9.96,9.96,9.96
"Nemipteridae","Pentapodus","nagasakiensis",0.014,0.029,0.004,6.75,9.53,12.68
"Serranidae","Pseudanthias","georgei",0.009,0.009,0.009,9.5,9.5,9.5
"Cirrhitidae","Cirrhitichthys","aprinus",0.009,0.009,0.009,8.24,8.24,8.24
"Pinguipedidae","Parapercis","nebulosa",0.005,0.013,0.001,4.23,7.85,11.83
"Labridae","Labroides","dimidiatus",0.004,0.004,0.004,7.43,7.43,7.43
"Synodontidae","Synodus","na",0.003,0.003,0.003,7.62,7.62,7.62
"Malacanthidae","Malacanthus","brevirostris",0.001,0.001,0.001,5.59,5.59,5.59
